SNR,window,p,MD_x,FAR_x
0.0,50,0.5,0.0012,0.3235
0.0,50,0.5,0.0015,0.3537
0.0,50,0.5,0.0014,0.345
0.0,50,0.5,0.0013,0.3944
0.0,50,0.5,0.0005,0.3213
0.0,50,0.5,0.0015,0.3072
0.0,50,0.5,0.0014,0.308
0.0,50,0.5,0.0011,0.281
0.0,50,0.5,0.0007,0.3334
0.0,50,0.5,0.0005,0.3184
0.0,50,0.5,0.0008,0.3198
0.0,50,0.5,0.0003,0.3792
0.0,50,0.5,0.0006,0.3193
0.0,50,0.5,0.0009,0.3054
0.0,50,0.5,0.0011,0.3709
0.0,50,0.5,0.0016,0.3011
0.0,50,0.5,0.001,0.3791
0.0,50,0.5,0.0008,0.3187
0.0,50,0.5,0.0008,0.3534
0.0,50,0.5,0.0008,0.375
0.0,50,0.5,0.0006,0.3614
0.0,50,0.5,0.0013,0.2902
0.0,50,0.5,0.0005,0.3892
0.0,50,0.5,0.0007,0.2999
0.0,50,0.5,0.0012,0.2718
0.0,50,0.5,0.0008,0.3456
0.0,50,0.5,0.0017,0.384
0.0,50,0.5,0.0006,0.3057
0.0,50,0.5,0.0008,0.3771
0.0,50,0.5,0.0006,0.345
0.0,50,0.5,0.0014,0.3505
0.0,50,0.5,0.0011,0.2929
0.0,50,0.5,0.0008,0.3309
0.0,50,0.5,0.0018,0.2828
0.0,50,0.5,0.0018,0.3474
0.0,50,0.5,0.001,0.3592
0.0,50,0.5,0.0018,0.3698
0.0,50,0.5,0.0009,0.2602
0.0,50,0.5,0.0011,0.3945
0.0,50,0.5,0.0009,0.296
0.0,50,0.5,0.0005,0.3425
0.0,50,0.5,0.0007,0.3909
0.0,50,0.5,0.0006,0.3591
0.0,50,0.5,0.001,0.3055
0.0,50,0.5,0.0005,0.3356
0.0,50,0.5,0.0013,0.3028
0.0,50,0.5,0.001,0.3209
0.0,50,0.5,0.001,0.3446
0.0,50,0.5,0.0008,0.3501
0.0,50,0.5,0.001,0.31
0.0,50,0.5,0.0008,0.3649
0.0,50,0.5,0.0012,0.2966
0.0,50,0.5,0.0009,0.397
0.0,50,0.5,0.0011,0.2885
0.0,50,0.5,0.0009,0.3796
0.0,50,0.5,0.0015,0.408
0.0,50,0.5,0.0003,0.3944
0.0,50,0.5,0.0015,0.2961
0.0,50,0.5,0.0011,0.3586
0.0,50,0.5,0.0009,0.4678
0.0,50,0.5,0.0007,0.4216
0.0,50,0.5,0.0009,0.3702
0.0,50,0.5,0.0014,0.4115
0.0,50,0.5,0.0012,0.3137
0.0,50,0.5,0.0006,0.3177
0.0,50,0.5,0.0009,0.3868
0.0,50,0.5,0.0003,0.3656
0.0,50,0.5,0.0008,0.3001
0.0,50,0.5,0.0016,0.2875
0.0,50,0.5,0.0014,0.3461
0.0,50,0.5,0.0009,0.3525
0.0,50,0.5,0.0003,0.3591
0.0,50,0.5,0.0012,0.3843
0.0,50,0.5,0.0024,0.3904
0.0,50,0.5,0.0005,0.287
0.0,50,0.5,0.0015,0.3059
0.0,50,0.5,0.0013,0.2694
0.0,50,0.5,0.0015,0.2689
0.0,50,0.5,0.0011,0.3624
0.0,50,0.5,0.0016,0.2807
0.0,50,0.5,0.0007,0.3754
0.0,50,0.5,0.0016,0.2886
0.0,50,0.5,0.0011,0.3415
0.0,50,0.5,0.0008,0.3066
0.0,50,0.5,0.0004,0.3908
0.0,50,0.5,0.0012,0.3896
